DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT
2010-08-12,164,17.73,26.57,23.31,24.94,91.76
2010-08-13,304,13.79,26.28,22.62,24.45,91.3
2010-08-14,224,5.21,26.44,22.76,24.6,91.52
2010-08-15,324,27.94,25.94,23.2,24.57,93.28
2010-08-16,364,50.31,25.38,22.5,23.94,94.58
2010-08-17,344,38.48,25.7,22.28,23.99,91.96
2010-08-18,404,13.71,25.15,22.39,23.77,92.9
2010-08-19,404,11.84,25.65,22.42,24.04,92.08
2010-08-20,404,5.01,25.37,21.97,23.67,91.82
2010-08-21,404,35.29,25.39,21.73,23.56,92.22
2010-08-22,405,36.15,25.56,21.96,23.76,92.88
2010-08-23,405,21.59,25.7,22.58,24.14,93.28
2010-08-24,265,63.24,24.81,22.33,23.57,94.3
2010-08-25,265,50.77,23.98,22.42,23.2,93.76
2010-08-26,325,39.37,25.35,22.58,23.96,93.16
2010-08-27,405,24.45,25.35,23.03,24.19,94.02
2010-08-28,405,9.07,26.45,22.89,24.67,92.97
2010-08-29,165,9.19,25.66,23.04,24.35,94.18
2010-08-30,185,69.55,25.04,21.58,23.31,94.02
2010-08-31,145,10.2,24.85,21.62,23.24,93.47
2010-09-01,205,12.81,25.51,22.19,23.85,92.17
2010-09-02,145,11.36,26.35,22.26,24.31,90.68
2010-09-03,85,14.81,25.53,22.65,24.09,92.66
2010-09-04,85,13.74,25.61,22.61,24.11,91.92
2010-09-05,85,14.48,25.68,22.9,24.29,92.98
2010-09-06,165,37.38,25.68,22.9,24.29,92.55
2010-09-07,165,35.48,25.59,23.15,24.37,93.32
2010-09-08,245,31.96,26.18,23.1,24.64,92.02
2010-09-09,305,30.32,26.14,23.24,24.69,92.58
2010-09-10,405,57.44,25.82,23.0,24.41,92.79
2010-09-11,405,4.44,26.02,22.7,24.36,90.72
2010-09-12,245,7.96,26.6,22.44,24.52,90.63
2010-09-13,265,12.96,25.68,22.1,23.89,91.59
2010-09-14,365,58.2,25.31,21.54,23.42,90.05
2010-09-15,405,38.59,25.26,21.76,23.51,92.18
2010-09-16,405,21.77,25.03,21.41,23.22,87.86
2010-09-17,405,4.16,25.3,21.78,23.54,90.69
2010-09-18,405,2.56,25.89,21.85,23.87,88.81
2010-09-19,405,0.2,26.41,21.67,24.04,86.83
2010-09-20,405,0.0,27.13,21.69,24.41,83.89
2010-09-21,405,19.16,27.66,22.32,24.99,84.39
2010-09-22,405,3.44,26.56,22.46,24.51,88.51
2010-09-23,405,85.8,28.34,22.94,25.64,89.26
2010-09-24,405,12.76,27.66,22.88,25.27,87.84
2010-09-25,405,8.13,26.32,22.72,24.52,88.05
2010-09-26,325,6.15,28.83,22.87,25.85,86.1
2010-09-27,305,22.53,27.88,22.8,25.34,87.74
2010-09-28,145,10.85,28.38,22.7,25.54,87.28
2010-09-29,105,9.69,29.4,22.54,25.97,85.01
2010-09-30,50,15.56,27.98,22.84,25.41,83.66
2010-10-01,65,5.12,29.24,22.88,26.06,84.7
2010-10-02,105,30.39,26.99,22.89,24.94,89.07
2010-10-03,65,21.65,29.08,22.74,25.91,86.96
2010-10-04,65,2.44,28.36,22.96,25.66,85.89
2010-10-05,65,5.54,28.56,23.24,25.9,87.36
2010-10-06,125,15.02,26.36,23.28,24.82,90.92
2010-10-07,245,2.42,27.18,23.22,25.2,88.42
2010-10-08,245,1.09,27.56,23.52,25.54,88.03
2010-10-09,225,0.12,27.38,22.98,25.18,86.61
2010-10-10,185,0.0,27.68,22.7,25.19,85.06
2010-10-11,225,0.0,27.25,22.25,24.75,80.23
2010-10-12,305,1.48,27.16,22.08,24.62,82.77
2010-10-13,405,9.88,27.06,22.22,24.64,86.1
2010-10-14,405,6.01,26.21,22.55,24.38,88.69
2010-10-15,405,10.14,26.56,22.58,24.57,88.17
2010-10-16,405,22.52,25.91,22.53,24.22,88.29
2010-10-17,405,7.19,26.11,22.33,24.22,86.79
2010-10-18,245,8.63,26.48,22.3,24.39,86.96
2010-10-19,245,5.43,27.12,22.6,24.86,88.21
2010-10-20,405,0.74,26.72,23.0,24.86,88.58
2010-10-21,405,84.89,26.33,23.03,24.68,90.23
2010-10-22,365,67.78,25.54,23.44,24.49,91.57
2010-10-23,365,9.02,26.21,22.97,24.59,91.68
2010-10-24,325,4.41,26.78,22.22,24.5,88.92
